,AGE,,,,,,SEX,,,EDUCATIONAL ATTAINMENT,,,,,,,,,,POVERTY STATUS,,,,HOUSEHOLD INCOME (IN 2021 INFLATION-ADJUSTED DOLLARS),,
Tract,,Total,18 to 29 years,30 to 44 years,45 to 64 years,65 years and over,,Male,Female,,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate (includes equivalency),"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,High school degree or higher,Bachelor's degree or higher,,"Total Citizens, 18 years and older, for whom poverty status is determined",Income in the past 12 months below poverty level,Income in the past 12 months at or above the poverty level,,"Median Household Income for Households with a Citizen, Voting-Age Householder",
326.01,,3656,685,1193,1070,708,,1789,1867,,435,100,261,577,410,1419,454,3121,1873,,3656,473,3183,,115125,
326.02,,3542,821,747,1238,736,,1755,1787,,220,278,361,460,245,1288,690,3044,1978,,3542,154,3388,,130948,
327,,5526,746,1524,1668,1588,,2696,2830,,248,501,506,838,319,2198,916,4777,3114,,5526,236,5290,,155132,
328.01,,3355,567,734,1067,987,,1659,1696,,279,236,396,433,262,1227,522,2840,1749,,3233,169,3064,,124423,
328.02,,3842,890,741,1117,1094,,1754,2088,,218,112,544,653,318,1455,542,3512,1997,,3842,405,3437,,118523,
329.01,,3917,560,948,1351,1058,,1873,2044,,226,69,623,647,353,1465,534,3622,1999,,3898,103,3795,,139555,
329.02,,3156,366,682,1171,937,,1598,1558,,227,135,668,415,125,1167,419,2794,1586,,3156,233,2923,,101813,
330.01,,3201,707,568,925,1001,,1778,1423,,128,175,252,289,287,1643,427,2898,2070,,3184,186,2998,,135625,
330.02,,3244,592,837,1208,607,,1724,1520,,105,30,474,445,341,1292,557,3109,1849,,3236,116,3120,,203068,
331,,2869,361,624,1122,762,,1399,1470,,151,54,259,373,286,1103,643,2664,1746,,2850,103,2747,,152813,
332.01,,3764,3192,243,239,90,,1458,2306,,0,0,1268,1789,113,428,166,3764,594,,1413,546,867,,53654,
332.03,,2369,721,542,685,421,,1031,1338,,60,69,357,802,178,539,364,2240,903,,2369,322,2047,,55568,
332.04,,3370,1105,785,592,888,,1864,1506,,216,61,301,992,99,1292,409,3093,1701,,3370,708,2662,,103125,
351.01,,3380,668,1021,1014,677,,1796,1584,,156,43,221,647,427,1264,622,3181,1886,,3380,508,2872,,113000,
351.02,,3141,400,876,1162,703,,1475,1666,,253,189,305,549,177,1200,468,2699,1668,,3141,110,3031,,169081,
352.01,,4392,486,1331,1452,1123,,2277,2115,,467,83,703,889,248,1303,699,3842,2002,,4392,299,4093,,118476,
352.02,,3770,733,1181,1092,764,,2093,1677,,189,90,729,651,193,1416,502,3491,1918,,3770,193,3577,,97455,
353,,5555,628,1704,1752,1471,,2748,2807,,406,272,618,909,513,1829,1008,4877,2837,,5555,205,5350,,137125,
354,,5927,678,2164,1778,1307,,2916,3011,,145,514,1188,778,276,2027,999,5268,3026,,5927,736,5191,,122302,
401,,3238,735,1122,861,520,,1515,1723,,114,58,140,523,138,1402,863,3066,2265,,3198,261,2937,,136771,
402,,4370,638,1496,1181,1055,,1914,2456,,193,347,136,445,315,2083,851,3830,2934,,4370,209,4161,,139318,
426.01,,3428,717,1034,915,762,,1744,1684,,111,51,294,701,175,1370,726,3266,2096,,3428,460,2968,,102824,
426.02,,2132,250,734,518,630,,1029,1103,,69,31,97,290,72,813,760,2032,1573,,2132,107,2025,,143646,
427,,4050,585,892,1438,1135,,1942,2108,,165,246,259,780,162,1547,891,3639,2438,,4050,383,3667,,106854,
428,,1741,140,301,708,592,,836,905,,31,15,55,108,55,662,815,1695,1477,,1741,41,1700,,235588,
451,,3973,844,1717,823,589,,2048,1925,,35,71,365,366,246,1691,1199,3867,2890,,3916,222,3694,,176444,
452.01,,2745,672,752,726,595,,1323,1422,,290,65,135,323,10,1394,528,2390,1922,,2734,84,2650,,164208,
452.02,,2347,516,936,586,309,,1237,1110,,68,18,106,305,162,864,824,2261,1688,,2347,267,2080,,142539,
476,,3791,582,1061,1316,832,,2000,1791,,135,104,274,418,330,1538,992,3552,2530,,3791,90,3701,,138450,
